stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\I2P1_Final_project-master\FINAL\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.05566] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05567] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05568] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05569] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05571] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05572] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05573] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05574] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05576] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05577] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05578] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05579] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05581] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05589] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05591] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05593] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05594] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05595] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05596] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05598] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05599] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05600] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05601] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05603] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05604] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05605] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05606] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05607] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05609] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05610] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05611] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05612] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05614] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05615] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05616] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05617] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05618] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05620] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05621] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05622] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05623] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05625] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05626] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05627] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05628] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05630] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05631] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05632] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05633] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05635] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05636] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05637] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05638] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05640] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05641] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05642] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05643] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05644] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05646] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05647] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05648] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05649] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05650] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05652] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05653] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05654] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05655] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05657] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05658] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05659] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05660] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05661] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05663] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05664] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05665] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05667] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05668] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05670] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05671] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05673] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05675] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05676] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05678] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05680] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05683] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05691] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05696] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05703] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05710] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05715] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05718] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05721] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05723] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05726] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05729] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05731] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05734] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05736] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05738] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05741] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05743] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05746] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05748] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05751] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05753] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05756] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05758] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05761] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05763] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05766] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05775] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05778] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05780] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05782] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05783] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05785] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05787] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05788] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05790] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05792] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05793] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05795] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05797] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05799] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05800] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05802] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05804] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05806] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05807] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05809] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05811] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05813] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05814] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05816] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05817] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05819] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05821] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05823] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05824] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05826] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05827] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05829] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05831] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05832] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05834] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05835] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05836] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05837] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05838] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05840] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05841] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05842] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05843] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05845] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05846] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05847] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05848] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05849] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05850] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05852] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05853] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05854] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05855] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05857] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05858] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05859] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05860] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05861] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05862] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05864] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05865] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05866] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05867] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05869] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05870] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05872] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05873] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05874] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05875] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05876] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05877] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05879] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05880] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05881] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05882] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05884] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05885] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05886] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05887] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05888] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05889] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05891] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05892] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05893] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05894] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05895] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05896] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05898] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05899] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05900] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05901] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05902] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05904] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05905] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05906] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05907] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05909] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05910] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05911] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05912] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05913] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05914] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05916] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05917] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05918] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05919] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05920] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05922] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05923] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05924] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05925] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05926] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05927] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05928] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05930] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05931] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05932] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05933] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05934] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05936] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05937] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05938] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05943] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05945] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05946] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05948] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05950] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
